Wikipedia ID,Movie Name,Year,Character Name,Count,Full name,Normalized_name,Influence
4560,braveheart,1995,William,30,William Wallace,WILLIAM,1505.2666666666664
337740,bram stoker's dracula,1992,Lucy,7,Lucy Westenra,LUCY,1492.3
667368,harry potter and the chamber of secrets,2002,Tom,3,Tom Marvolo Riddle,TOM,1489.833333333333
667368,harry potter and the chamber of secrets,2002,Tom,2,Tom Riddle's,TOM,1489.833333333333
702117,spider-man 3,2007,Parker,34,Peter Parker,PARKER,1483.5
217982,caddyshack,1980,Lacey,3,Lacey Underall,LACEY,1482.2
217982,caddyshack,1980,Lacey,17,Danny of Lacey,LACEY,1482.2
18952889,"it's a mad, mad, mad, mad world",1963,Monica,3,Monica,MONICA,1478.5
471370,an american werewolf in london,1981,Alex,2,Alex Price,ALEX,1475.7
23270459,inception,2010,Arthur,7,Arthur,ARTHUR,1467.1000000000004
6268880,on her majesty's secret service,1969,Tracy,10,Tracy,TRACY,1462.9666666666653
2750041,memento,2000,Natalie,3,Natalie,NATALIE,1453.7333333333336
29942,the graduate,1967,Benjamin,49,Elaine confronts Benjamin,BENJAMIN,1449.5333333333333
1353086,the fearless vampire killers,1967,Sarah,9,Sarah,SARAH,1443.6333333333332
1485962,the mask,1994,Charlie,3,Charlie Schumaker,CHARLIE,1427.5666666666666
447299,from dusk till dawn,1996,Seth,13,Seth,SETH,1402.4666666666672
294998,home alone 2: lost in new york,1992,Harry,4,Harry Lyme,HARRY,1395.4333333333334
30273553,drive,2011,Rose,8,Bernie Rose,ROSE,1382.4666666666672
248222,the fast and the furious,2001,Dominic,16,Dominic Toretto,DOMINIC,1380.3000000000002
68485,jurassic park,1993,Ellie,10,Ellie Sattler,ELLIE,1379.9666666666667
230481,predator,1987,Anna,6,Anna,ANNA,1376.0333333333328
26999426,captain america: the first avenger,2011,Carter,2,Peggy Carter,CARTER,1361.2333333333336
17298593,mission: impossible – ghost protocol,2011,Carter,8,Jane Carter,CARTER,1361.2333333333336
23830211,requiem for a dream,2000,Harry,17,Harry,HARRY,1347.5666666666666
